zgbh,icid
1301981   ,4137865950
1958739   ,1767896459
1960393   ,2669550747
1962324   ,3247714579
1963226   ,2058331312
1963836   ,2674584699
1964186   ,0867910075
1964588   ,0777594791
1964632   ,0166345378
1964668   ,0779662071
1965008   ,2066982896
1965086   ,2624889680
1965140   ,2062790464
1965173   ,0770097703
1965863   ,1798657417
1966277   ,2066576816
1967574   ,3252017443
1967765   ,0873731963
1968082   ,2063820352
1968247   ,1121036350
1968338   ,2062307440
1968403   ,2048794768
1968553   ,2049213184
1968567   ,1577083664
1968571   ,2624368752
1968590   ,1578643280
1968644   ,2676207179
1968651   ,0066668983
1968676   ,2062672416
1968733   ,2058491696
1968758   ,1584075504
1968783   ,0313120218
1968826   ,0067212087
1968844   ,0965615579
1968851   ,0779761543
1968858   ,1606370858
1968928   ,2982351745
1968942   ,0311032682
1968953   ,1788311179
1968967   ,2066557376
1968978   ,1767530955
1969065   ,2627039072
1969086   ,2066690912
1969100   ,0768281319
1969142   ,0777767799
1969151   ,2060950736
1969195   ,0778680807
1969247   ,2069342816
1969265   ,0768117911
1969298   ,2625503600
1969310   ,2066328000
1969317   ,2755313482
1969324   ,2057256704
1969432   ,0778050919
1969443   ,2673416875
1969450   ,3529330142
1969457   ,2068799168
1969461   ,0777780247
1969468   ,0777862215
1969475   ,0779933399
1969482   ,0779347575
1969486   ,0778998663
1969500   ,2068051280
1969510   ,2622283952
1969567   ,2061173120
1969574   ,1579065376
1969599   ,2049861424
1969610   ,2673870491
1969624   ,0066987431
1969635   ,2065520688
1969649   ,2622148592
1969660   ,1781959451
1969667   ,3738533988
1969674   ,2064261280
1969690   ,0778866487
1969942   ,0865788267
1969967   ,4130777966
1969974   ,0769582823
1969981   ,2050930976
1969992   ,0083077220
1969999   ,0779797671
1970006   ,0768946551
1970017   ,0769112999
1970024   ,3248108371
1970031   ,3527971566
0997      ,3304266586
66556     ,0484073642
844090    ,2472891776
1295858   ,3530321470
1368028   ,1578960928
1368165   ,2063115376
1371052   ,1766471707
1371098   ,1564572336
1371196   ,0176016592
1371236   ,2624328992
1371308   ,4135278318
1952802   ,1578961408
1953024   ,0485386379
820536    ,2604895947
881488    ,2977041761
