bh,kh
1388032,3560875584
702347,1363917574
1405979,3937870416
1373139,3559302512
722851,3163915397
702486,4213610302
598464,3252445748
702488,4213986830
684330,4213819614
722893,3164532981
133837,3559733392
722586,1727896395
133835,3557981168
613181,0460985145
663389,0903696366
614309,0371712055
722772,3453061403
133874,3559559232
133875,3559212624
133876,3560848128
133872,3559311008
702485,4213195838
725995,1532685990
702516,4214349326
543843,3110537250
133739,2567145515
133740,1727686827
1390466,3560009808
128773,2567172395
730394,3552295463
714506,1727422427
722871,1021687323
1405980,4142176950
1388110,3559075872
1388116,3559020176
1405983,4141873254
1405985,3558373760
1405986,4142110310
1405987,3937560512
1405988,4142322902
1405989,4143031030
1405990,3560525280
1405991,4142144982
1405994,3937861744
725919,3546664323
1388048,3559337856
1388045,3559391664
702564,4213523310
726494,3546425987
129291,3559320672
704097,3473147875
740214,3549123799
133839,3559844432
133843,3452704939
1388060,3559322416
1406007,4142635942
1388094,3559352368
1388095,3559255408
726496,3546692899
127049,1294901053
1388123,3559070992
133996,3560873744
481096,2537411150
1388126,3560775824
1390222,3938190976
604382,2784782343
1388064,3559032912
1388083,3559378144
1406008,4142225654
1406009,3937620352
1406010,4142712838
1406011,4142480998
1406012,4141802566
1406013,4142314182
1406014,3558639184
1406017,3560263120
1406002,4142098310
1406015,4142546582
1406016,4142358614
1406018,4142505382
748218,3687158487
1406019,3559980976
1406020,4141896118
1388059,3560854800
1388051,3559906944
740101,3664079223
1388066,3559135232
1388130,3559127904
1390201,3559681168
1390203,3550921607
1390204,3559752480
1390206,3551217591
505632,1727892667
740239,1365287830
726481,3546283763
703982,3319549484
726512,3546687011
1388069,3560851408
1388108,3559550016
1388128,3559276480
726021,1021253707
1406032,4147408022
1406033,4142505478
748183,3417844295
726482,3546712339
1406035,4142286790
1406027,4142802070
1406034,1532605638
1406036,4142099622
1406038,4142728934
1406048,4143020406
1406049,4142042118
1406050,4142906390
1406051,4142444998
1406052,4141806518
1406053,4142608630
725791,3164567317
1406021,4142827110
128979,3559337744
133855,3559601392
133878,3559316640
133881,3560894048
133882,3559601664
00701 ,0764102333
47991 ,0423285334
1388091,3559013424
1390207,3559359120
1390215,3937884928
129123,3560760480
245296,3994048091
1406022,4142120422
1406023,3937770800
1406024,4142988838
1406025,4143046310
1406026,4142916614
1406028,4142491430
259806,3499851325
1406054,4142739750
1388053,3560865392
1388058,3559895200
1388071,3559098592
540172,1898899266
740054,1529696740
1388074,3559185024
681944,4086273650
747942,3559501632
750703,3559182944
1388078,3559096592
1406055,4142905974
1388077,3559436000
1406056,4141806982
1388080,3559845280
1406057,4142921366
1406058,4142850470
1406059,4142205862
1406060,4142550310
1406065,4142758086
1406066,4142039366
1406068,4142710582
704349,3469292243
1406070,4142197622
1388103,3559182848
133849,3559806816
1388175,3559551472
1388169,3559056512
1388172,3559021456
1388179,3559768240
675950,3318678668
1388163,3559190704
1406061,4142206870
128069,3252293204
341444,1727818571
1406063,4142244870
705011,4213151118
1406072,4142077846
730354,3546949591
740029,1532988870
1388039,3558543696
343744,2933943364
1388068,3560824496
1388067,3559660432
1388131,3559256704
704977,3317935260
663393,0904033198
1388031,3558955328
1388101,3393191271
1388098,1367020742
1388133,3559188624
1388037,3559422832
730392,3375164167
1408186,4147877062
726579,2570197835
1408188,4142031158
748148,3548950615
1408191,4141992070
1408192,4142673526
1408193,4142810054
133868,3560873424
133870,3559436128
704926,3546207171
703989,3317716924
730359,3547983223
1388224,3560901888
1388253,3559437680
550845,3112264946
714565,3311569338
1388250,3558860208
1388258,3559733792
1388256,3559462704
481296,0313639218
704480,3220603068
581637,0313274770
523042,1499608594
681701,4213984494
730361,3546361511
132594,3252514660
730377,2567537691
681706,3994507730
632586,0986503812
1388215,0345029883
1388217,3559288320
133551,2569455611
484207,1424822950
132585,3252362724
132587,3252102132
702973,4213767486
128788,1727216459
583138,2988398583
292207,3486667109
128790,1727424475
722865,3163938485
722867,3546564291
704313,1300158307
704960,1533613398
540234,1531755302
704961,3683834871
704965,3315706332
1388200,3558969408
1388206,3559841728
741892,3687073063
704722,4215499950
271086,0313219154
1406194,4143085830
1406192,4142383398
128113,3251852148
613268,1252563762
128115,3251668820
1406196,4142053526
748187,3417333559
1388198,3560892352
703054,3452976315
748207,3559844512
748215,3682679863
704946,4213157854
584157,1059392653
390002,3251945012
730444,3375319495
1390236,3938042832
1388191,3559106560
1388227,3558508560
1388238,3559215632
1388232,3559790768
1388236,3559549264
1388240,3560420000
1388245,3558406480
748271,3687162567
748134,3559517152
748153,1264795408
1388226,3559847280
1388229,3560874528
730505,3682609767
1388212,3559491328
128985,3559021888
1388219,3559631728
1388235,3557983936
1388233,1531740022
1388241,3558291408
611405,2567104971
613350,1740067966
633295,0371662343
132670,3252296452
133934,3559683200
614813,0313364546
701315,3318868252
1388248,3559806128
702697,2567529163
585257,0168549331
1388203,3559612160
1406251,3937494224
1406253,4142884710
1406254,4142158470
1406255,4142523062
1406256,3559935536
1406257,4141971974
1406258,4142432806
176884,3252404692
704987,4213780542
132676,3251893236
714499,1727435131
132738,3252271556
1388271,3559482640
1388277,3559397984
714474,2911608683
1388274,3559699216
1388281,3560331984
1388273,3560580160
1388275,3558508480
435815,1365891926
541987,3111707890
133920,3559314112
36524 ,0526585595
133940,3560862208
133945,3559294000
129320,3560840720
1388204,3559459952
1388205,3560171424
705506,3220701004
1388260,3558164768
1388259,3559305776
748178,1531870870
1388267,3551106855
748190,3559116768
1388270,3558125744
259088,1058913021
704182,3469364003
132678,3252123348
705010,4213222046
748248,3559109472
49134 ,0785121019
748276,3559804016
748286,3559768656
748292,3560578304
714465,4213504958
1390342,3685089991
133985,3559638336
1390344,3559943808
1390346,3937792960
1390349,3559312096
1390352,3937882208
1390354,3937397984
1390356,3938244160
1390359,1259526528
1388264,3559724320
1388268,3559891472
1388261,3558388864
1388262,3551662199
726636,3546362835
1388265,1532580118
723341,2567327899
723342,3546912083
133908,3559108352
133911,3559584192
556781,3912758130
133922,3559503536
133924,3559201520
133923,3560841728
133973,3559596992
704036,3315454556
726617,2567180171
704060,1727893147
1390328,3560129280
643066,3319337212
1388331,3560183984
1388333,3558356656
1388337,3560587008
748385,1727443947
133927,3559000160
133929,3560767392
726633,3546276243
133925,3559214016
133930,3559416320
606420,3111114642
704021,2567305067
1388290,3559600848
1388288,3559480752
1388309,3560450784
56067 ,2042392426
1388345,3558381440
684319,3319742268
133948,3559131440
1388291,3994012562
133946,3559324208
133952,3559665456
1388292,3558375360
133951,3559624208
1388294,3559423776
1388293,3560309488
1406442,4142114646
1406443,4142708534
1406444,4146394406
726729,3546232803
726731,2570351947
1406445,4145854134
1406446,4143036902
1406447,1299691475
1406448,4147979574
1406449,4142171046
1406450,4142256390
1406451,4145853990
1406452,4143039574
1406453,4142852246
1406454,4143063622
1406455,4142189270
732303,3552043879
728898,1020426347
133936,3559421632
133937,3936222048
133938,1727455835
133787,1727200091
1388385,3937711952
1388384,3560161472
1388382,1366873014
491585,1727385099
133916,3558176208
257938,3497691581
133954,3559568800
748297,3559635568
133981,3560774656
540665,1727031979
684326,2146445914
684334,1899420034
1388326,3560184896
1388322,3938215440
702829,3317469932
714717,4213106782
505961,0989757234
1388279,3559653440
1388286,3558115056
1388284,3558238256
748360,1264839504
748367,3558999536
556100,3995363682
714736,4213555854
598391,1899209202
1388675,3560415104
723242,3546702963
723244,1533826838
1388678,3559961344
1388681,3551012151
1388685,3938029984
257988,3494856139
1388687,3937423376
1388705,3683276343
753420,3559784432
753482,1021721563
1406213,4147070838
1406214,4142952134
1406182,4142680854
613510,3995860658
1396170,2141128135
684371,2499916562
454302,0460145257
1396191,1528921300
1396193,4215541326
613116,3453303819
1388381,3558369264
1388393,3938184032
133212,3220106428
1388398,3560124992
1388399,3558630928
1388421,3560331584
1388414,3558365920
133987,3699417559
1388299,3560815552
129345,3559015216
618718,4086829970
1388370,3560315408
748294,3558992464
1388287,3559556832
1388295,3560905744
1388298,3558875152
1388297,3559733536
705062,4213581822
1388349,1364878406
705071,3318253676
705072,3316673132
1388378,1290893299
1388394,3937766880
1397058,3546665571
726600,3546706051
748425,3559052016
1388316,3558872688
1388317,3560281824
127825,3251928788
1388328,3560263696
616921,1533412726
133984,3559215568
714692,3309662970
714744,4213115726
1406432,4143037878
133833,3559076976
1406433,4141871798
133834,1362441606
1406434,4142615206
723215,3546354947
1406435,4142959974
133944,3559802896
1406436,4142321062
