zgbh,icid
1293612   ,1779100059
1294482   ,1762681083
1299707   ,2047637568
1299947   ,2984405713
1300931   ,2672420379
1365964   ,2627276240
1366012   ,2675167899
1366111   ,2854337028
1366275   ,1781056283
1366381   ,1766575739
1366687   ,3527966638
1366969   ,1766454027
1367041   ,2675903675
1367084   ,2066462848
1367326   ,1788304523
1367333   ,2048257232
1367344   ,2675207195
1367376   ,3537238142
1367394   ,2064350720
1367416   ,2673791643
1367722   ,0873316699
1367729   ,3533039294
1367761   ,2047252816
1367797   ,4137001518
1367815   ,0760517002
1367853   ,0873580123
1367870   ,2061897856
1367927   ,3530693710
1367962   ,1584079152
1368157   ,4138270494
1368170   ,1767076379
1368331   ,3531012238
1368338   ,0259633642
1368356   ,4136204190
1368363   ,2053219424
1368370   ,2624248272
1368395   ,2062102384
1368519   ,2054083744
1368576   ,0761675626
1368619   ,1786663419
1368637   ,2068608240
1368651   ,2069512432
1368680   ,2061775648
1368719   ,2063069536
1368737   ,2058768640
1368755   ,2068179680
1368762   ,2061895696
1368786   ,0762419130
1368798   ,0308770950
1368805   ,2582121751
1368826   ,2061327456
1368837   ,1786218363
1368921   ,3038502330
1368960   ,2067077248
1369029   ,1580904912
1369036   ,2582121767
1369043   ,1323982679
1369405   ,4135642974
1369517   ,2047853104
1369598   ,2623433280
1369689   ,2067203296
1369769   ,2669669563
1369827   ,0310140038
1369857   ,0869145403
1369871   ,2580007335
1369875   ,0882847179
1369880   ,0869951499
1371243   ,1787983691
1286326   ,0312664842
1286509   ,2065311296
1287905   ,0874207739
1288442   ,3529582046
1356873   ,2051037568
1358710   ,2920228673
1358955   ,3038773210
1359049   ,2058785376
1360179   ,0865482107
1360204   ,1789734347
1361051   ,4140821118
1361203   ,2672714171
1361589   ,0760058580
1362103   ,1768013755
1362110   ,2626851264
1362221   ,1788197643
1362228   ,2581102311
1362235   ,3207938626
1362242   ,4139388334
1362278   ,1799118569
1362394   ,0032073924
1362565   ,0968493531
1362613   ,1568325950
1362664   ,2675408331
1362791   ,1789591403
1362841   ,2064406368
1362896   ,2062462112
1362914   ,4130455998
1362921   ,1766761179
1362994   ,2062657504
1363200   ,3528886126
1363249   ,3504073498
1363527   ,0875043867
1363870   ,1788281851
1363877   ,1120069678
1363984   ,1781037163
1363995   ,0762442170
1364119   ,1767711499
1364137   ,2675543227
1364210   ,2064317616
1364233   ,1762580427
1364484   ,2062650768
1364644   ,1785544235
1364724   ,1767446283
1364810   ,4139917294
1364817   ,1780569067
1364940   ,0761848538
1365221   ,2047100544
1365403   ,0762530074
1301809   ,1781258619
1302208   ,4137858910
1302635   ,4135642510
1302912   ,4134269486
1303130   ,4138359150
1303236   ,0760633258
1303552   ,4134975486
1303770   ,4137914430
1304742   ,2662922043
1305104   ,2671847931
1308440   ,3532552862
1309373   ,2673708395
1309604   ,2472262992
1310378   ,3532700462
35609     ,1269250505
39254     ,1489729684
812133    ,1359723274
880389    ,2472620176
881539    ,2658140036
881652    ,2919933937
1343086   ,2674949003
1343333   ,1444510909
1343705   ,2672687803
1344566   ,0874847659
1300347   ,2053443648
1300788   ,1790308795
1365746   ,2067100816
1365761   ,1790488299
1366100   ,3530078974
1366245   ,4129532782
1366262   ,4135782302
1366330   ,4129888062
1366332   ,2627152656
1366339   ,2063943024
1366385   ,1761810683
1366433   ,2772217819
1366518   ,2065841584
1366550   ,4139909054
1366686   ,2047873760
1367111   ,4130918718
1367173   ,2466095584
1367273   ,2064646112
1367337   ,2625360112
1367339   ,1604291802
1367429   ,2066373904
1367446   ,2627167856
1367544   ,2579829575
1367717   ,3530774094
1367793   ,2657458436
1367810   ,2066188320
1367824   ,0311602954
1367854   ,4139197630
1367856   ,1781447739
1367907   ,3530240046
1367924   ,2069792624
1367957   ,0486103707
1368038   ,2674065819
1368120   ,2048381600
1368136   ,3503194042
1368150   ,1578799888
1368152   ,3502880074
1368154   ,3536656366
1368166   ,3534851182
1368168   ,1789160843
1368335   ,2062416400
1368350   ,3247525251
1368352   ,3934542602
1368418   ,1782028299
1368515   ,2048626176
1368517   ,2624605024
1368531   ,2058518128
1368631   ,2067313248
1368648   ,2062128144
1368665   ,2069528784
1368667   ,2067300048
1368684   ,1903383332
1368714   ,2626463824
1368716   ,2069569248
1368748   ,2066477712
1368750   ,2049883104
1368783   ,2060107152
1368800   ,0873212987
1368804   ,0255651674
1368817   ,3531297534
1368830   ,1781864827
1368832   ,1765287707
1368847   ,0869523467
1368925   ,0166207760
1368974   ,3531750318
1369030   ,1715066455
1369032   ,2069746864
1369047   ,3537028558
1369175   ,2669524827
1369258   ,3928963114
1369273   ,1781708651
1369608   ,0967596795
1369610   ,2064715072
1371087   ,2066556480
1371279   ,2675877931
