08:16:12:6567712 Emp Update Insert===================
08:16:16:2029740 -->Query 111ClassSum:39674
08:16:20:6842303 -->Query ProgressEmpClassSum:39722
08:17:57:5157688 Emp Update Insert===================
08:18:00:4939391 -->Query 111ClassSum:39674
08:18:04:6411763 -->Query ProgressEmpClassSum:39722
08:21:11:1638448 -->insert111_EmpClassError,Rollback :索引超出范围。必须为非负值并小于集合大小。
参数名: index
08:27:04:6470629 Emp Update Insert===================
08:27:07:1432057 -->Query 111ClassSum:39674
08:27:11:3194445 -->Query ProgressEmpClassSum:39722
08:27:11:3324453 00002
08:27:11:3354455 00005
08:27:11:3374456 00008
08:27:11:3414458 00014N
08:27:11:3444460 00018N
08:27:11:3474461 00033
08:27:11:3504463 00067
08:27:11:3524464 00068
08:27:11:3564467 00093
08:27:11:3584468 00102
08:27:11:3614469 00204
08:27:11:3644471 00218
08:27:11:3664472 00226
08:27:11:3694474 00235
08:27:11:3724476 00249
08:27:11:3754477 00256
08:27:11:3784479 00270
08:27:11:3804480 00272
08:27:11:3834482 00272N
08:27:11:3864484 00295
08:27:11:3894485 00328
08:27:11:3924487 00348
08:27:11:3954489 00450
08:27:11:3984491 00479
08:27:11:4024493 00484
08:27:11:4054495 00510
08:27:11:4074496 00525
08:27:11:4104497 00687
08:27:11:4134499 00699
08:27:11:4154500 00701
08:27:11:4194503 00704
08:27:11:4224504 00715
08:27:11:4254506 00728
08:27:11:4274507 00766
08:27:11:4304509 00809
08:27:11:4334511 00814
08:27:11:4374513 00854
08:27:11:4404515 00897
08:27:11:4424516 00908
08:27:11:4454517 00954D
08:27:11:4484519 01069
08:27:11:4534522 01085
08:27:11:4564524 01126
08:27:11:4584525 01152
08:27:11:4614527 01174
08:27:11:4654529 01181
08:27:11:4684531 01208
08:27:11:4704532 01230
08:27:11:4734533 01239
08:27:11:4764535 01243
08:27:11:4794537 01244
08:27:11:4824539 01252
08:27:11:4854540 01264
08:27:11:5094554 01267
08:27:11:5124556 01268
08:27:11:5164558 01271
08:27:11:5194560 01277
08:27:11:5224561 01282
08:27:11:5244563 01286
08:27:11:5284565 01293
08:27:11:5314567 01298
08:27:11:5334568 01310
08:27:11:5364570 01326
08:27:11:5394571 01330
08:27:11:5434574 01341
08:27:11:5464575 01356
08:27:11:5494577 01372
08:27:11:5514578 01394
08:27:11:5744591 01398
08:27:11:5784594 01447
08:27:11:5814595 01454
08:27:11:5844597 01473
08:27:11:5864598 01478
08:27:11:5894600 01511
08:27:11:5934602 01537
08:27:11:5964604 01624
08:27:11:5994606 01691
08:27:11:6024607 01741
08:27:11:6054609 01744
08:27:11:6084611 01779
08:27:11:6234619 01790
08:27:11:6264621 01803
08:27:11:6294623 01831
08:27:11:6324624 01851
08:27:11:6354626 01857
08:27:11:6394628 01861
08:27:11:6424630 02099
08:27:11:6454632 02226
08:27:11:6484634 02258
08:27:11:6514635 02554
08:27:11:6554638 02595
08:27:11:6684645 02615
08:27:11:6714647 02749
08:27:11:6744648 02798
08:27:11:6774650 02809
08:27:11:6804652 02972
08:27:11:6834654 02975
08:27:11:6874656 02994
08:27:11:6894657 03010
08:27:11:6924659 03019
08:27:11:6944660 03028
08:27:11:6974662 03032
08:27:11:7004663 03033
08:27:11:7024664 03040
08:27:11:7054666 03043
08:27:11:7074667 03050
08:27:11:7104669 03067
08:27:11:7134671 03069
08:27:11:7154672 03071
08:27:11:7184674 03072
08:27:11:7204675 03125
08:27:11:7234676 03137
08:27:11:7254678 03140
08:27:11:7304680 03144
08:27:11:7324682 03172
08:27:11:7344683 03178
08:27:11:7374684 03180
08:27:11:7394686 03201
08:27:11:7424687 03211
08:27:11:7444688 03227
08:27:11:7474690 03228
08:27:11:7504692 03236
08:27:11:7524693 03253
08:27:11:7564695 03268
08:27:11:7594697 03317
08:27:11:7624699 03326
08:27:11:7654700 03327
08:27:11:7684702 03344
08:27:11:7704703 03369
08:27:11:7734705 03392
08:27:11:7774707 03411
08:27:11:7804709 03415
08:27:11:7834711 03416
08:27:11:7854712 03426
08:27:11:7884714 03432
08:27:11:7924716 03473
08:27:11:7944717 03478
08:27:11:7974719 03591
08:27:11:8004721 03697
08:27:11:8024722 03698
08:27:11:8074725 04664
08:27:11:8094726 04860
08:27:11:8134728 05185
08:27:11:8164730 05358
08:27:11:8194731 05435
08:27:11:8224733 05736
08:27:11:8244734 05840
08:27:11:8284737 05859
08:27:11:8314738 06071
08:27:11:8344740 06224
08:27:11:8374742 06710
08:27:11:8404743 06971
08:27:11:8424745 07062
08:27:11:8454746 07112
08:27:11:8494749 07116
08:27:11:8514750 07125
08:27:11:8544751 07299
08:27:11:8584754 07481
08:27:11:8694760 07593
08:27:11:8714761 07910
08:27:11:8744763 08005
08:27:11:8774765 08748
08:27:11:8804766 09019
08:27:11:8824767 09398
08:27:11:8864770 09402
08:27:11:8894771 09559
08:27:11:8924773 09649
08:27:11:8954775 10006
08:27:11:8974776 10071
08:27:11:9004778 10089D
08:27:11:9034779 10103
08:27:11:9074782 10129
08:27:11:9164787 10141
08:27:11:9194789 10153
08:27:11:9224790 10155
08:27:11:9244791 10193D
08:27:11:9274793 10195
08:27:11:9304795 10196
08:27:11:9344797 10201
08:27:11:9374799 10208
08:27:11:9394800 10233D
08:27:11:9424802 10237D
08:27:11:9464804 10243
08:27:11:9494806 10256
08:27:11:9634814 10319
08:27:11:9674816 10327
08:27:11:9704818 10371
08:27:11:9724819 10377
08:27:11:9754821 10389
08:27:11:9784822 10414
08:27:11:9824825 10427
08:27:11:9854826 10446
08:27:11:9884828 10447
08:27:11:9914830 10449
